#截止2023-09-27，福建省福州市IP地址共计1186条记录，IP地址总数2582784。
#数据可能不完整，正在更新中
#IP起始	结束	数量	网络
1.0.1.0	1.0.3.255	768	电信
1.1.0.0	1.1.0.255	256	电信
1.1.2.0	1.1.7.255	1536	电信
1.2.0.0	1.2.1.255	512	电信
1.2.6.0	1.2.7.255	512	电信
1.4.1.0	1.4.3.255	768	电信
1.4.5.0	1.4.7.255	768	电信
1.10.8.0	1.10.9.255	512	电信
1.10.11.0	1.10.15.255	1280	电信
14.0.12.0	14.0.15.255	1024	电信
14.1.0.0	14.1.3.255	1024	电信
14.102.128.0	14.102.131.255	1024	电信
14.192.76.0	14.192.79.255	1024	电信
27.148.0.0	27.148.159.255	40960	电信
27.148.196.0	27.148.202.255	1792	电信
27.148.205.0	27.148.216.255	3072	电信
27.148.218.0	27.148.220.255	768	电信
27.148.222.0	27.148.223.255	512	电信
27.148.226.0	27.148.226.255	256	电信
27.148.228.0	27.148.230.255	768	电信
27.148.232.0	27.148.234.255	768	电信
27.148.240.0	27.148.242.255	768	电信
27.148.251.0	27.149.215.255	56576	电信
27.150.16.0	27.150.31.255	4096	电信
27.150.168.0	27.150.187.255	5120	电信
27.150.189.0	27.150.189.255	256	电信
27.151.0.0	27.151.127.255	32768	电信
27.155.64.0	27.156.127.255	81920	电信
27.159.122.0	27.159.127.255	1536	电信
36.0.0.0	36.0.3.255	1024	电信
36.37.36.0	36.37.37.255	512	电信
36.37.39.0	36.37.39.255	256	电信
36.192.176.0	36.192.176.255	256	移动
36.192.190.0	36.192.191.255	512	移动
36.248.0.0	36.248.7.255	2048	联通
36.248.9.0	36.248.93.255	21760	联通
36.248.96.0	36.248.127.255	8192	联通
36.250.0.0	36.250.63.255	16384	联通
36.250.194.0	36.250.226.255	8448	联通
36.250.228.0	36.250.228.255	256	联通
36.250.230.0	36.250.239.255	2560	联通
36.251.2.0	36.251.127.255	32256	联通
39.0.0.0	39.0.0.255	256	电信
39.0.2.0	39.0.7.255	1536	电信
39.134.96.0	39.134.96.255	256	移动
39.134.99.0	39.134.99.255	256	移动
39.134.103.0	39.134.103.255	256	移动
39.135.48.0	39.135.48.255	256	移动
39.135.51.0	39.135.51.255	256	移动
39.135.53.0	39.135.53.255	256	移动
39.137.43.0	39.137.43.255	256	移动
39.137.45.0	39.137.45.255	256	移动
39.137.47.0	39.137.47.255	256	移动
39.137.144.0	39.137.144.255	256	移动
42.0.0.0	42.0.3.255	1024	电信
42.0.24.0	42.0.27.255	1024	电信
42.1.56.0	42.1.59.255	1024	电信
42.62.180.0	42.62.183.255	1024	电信
42.83.80.0	42.83.83.255	1024	电信
42.96.108.0	42.96.111.255	1024	电信
42.99.112.0	42.99.115.255	1024	电信
42.123.36.0	42.123.39.255	1024	电信
42.156.36.0	42.156.39.255	1024	电信
42.247.25.0	42.247.25.255	256	教育网
43.224.12.0	43.224.15.255	1024	联通
43.236.60.0	43.236.63.255	1024	XX
43.242.72.0	43.242.75.255	1024	电信
45.119.60.0	45.119.63.255	1024	电信
45.126.120.0	45.126.123.255	1024	电信
45.126.220.0	45.126.223.255	1024	XX
45.253.72.0	45.253.75.255	1024	XX
45.254.20.0	45.254.23.255	1024	联通
49.128.0.0	49.128.0.255	256	电信
