#截止2023-09-27，江苏省南京市IP地址共计635条记录，IP地址总数5162240。
#数据可能不完整，正在更新中
#IP起始	结束	数量	网络
1.51.0.0	1.51.31.255	8192	教育网
1.51.56.0	1.51.111.255	14336	教育网
1.51.128.0	1.51.143.255	4096	教育网
36.111.192.0	36.111.199.255	2048	电信
36.113.0.0	36.113.81.255	20992	电信
36.113.160.0	36.113.223.255	16384	电信
36.149.0.0	36.149.3.255	1024	移动
36.149.28.0	36.149.29.255	512	移动
36.149.64.0	36.149.67.255	1024	移动
36.149.92.0	36.149.95.255	1024	移动
36.149.128.0	36.149.131.255	1024	移动
36.149.156.0	36.149.157.255	512	移动
36.149.192.0	36.149.195.255	1024	移动
36.149.220.0	36.149.223.255	1024	移动
36.150.0.0	36.150.255.255	65536	移动
36.151.3.0	36.151.3.255	256	移动
36.151.12.0	36.151.23.255	3072	移动
36.151.32.0	36.151.127.255	24576	移动
36.152.0.0	36.152.95.255	24576	移动
36.152.104.0	36.152.127.255	6144	移动
36.153.72.0	36.153.95.255	6144	移动
36.153.104.0	36.153.127.255	6144	移动
36.155.0.0	36.155.0.255	256	移动
36.155.2.0	36.155.2.255	256	移动
36.155.7.0	36.155.9.255	768	移动
36.155.144.0	36.155.144.255	256	移动
36.155.154.0	36.155.154.255	256	移动
36.155.192.0	36.155.192.255	256	移动
39.134.69.0	39.134.69.255	256	移动
39.134.71.0	39.134.73.255	768	移动
42.195.0.0	42.195.255.255	65536	XX
42.244.80.0	42.245.193.255	94720	教育网
42.245.194.0	42.245.195.255	512	联通
42.246.0.0	42.246.255.255	65536	教育网
42.247.41.0	42.247.255.255	55040	教育网
43.226.112.0	43.226.115.255	1024	联通
43.227.56.0	43.227.63.255	2048	联通
43.238.132.0	43.238.135.255	1024	XX
43.238.152.0	43.238.159.255	2048	XX
43.238.172.0	43.238.179.255	2048	XX
43.248.104.0	43.248.107.255	1024	联通
43.248.120.0	43.248.127.255	2048	联通
43.248.144.0	43.248.147.255	1024	联通
43.248.208.0	43.248.211.255	1024	联通
43.255.72.0	43.255.75.255	1024	江苏广电
45.113.28.0	45.113.31.255	1024	XX
45.121.240.0	45.121.243.255	1024	鹏博士
45.250.92.0	45.250.95.255	1024	网宿
45.252.104.0	45.252.107.255	1024	联通
45.253.44.0	45.253.47.255	1024	XX
45.254.84.0	45.254.87.255	1024	XX
49.65.0.0	49.65.95.255	24576	电信
49.65.100.0	49.65.175.255	19456	电信
49.65.180.0	49.65.187.255	2048	电信
49.65.192.0	49.65.255.255	16384	电信
49.74.4.0	49.74.7.255	1024	电信
49.74.12.0	49.74.27.255	4096	电信
49.74.32.0	49.74.99.255	17408	电信
49.74.104.0	49.74.111.255	2048	电信
49.74.116.0	49.74.255.255	35840	电信
49.77.0.0	49.77.19.255	5120	电信
49.77.24.0	49.77.119.255	24576	电信
49.77.128.0	49.77.211.255	21504	电信
49.77.216.0	49.78.255.255	75776	电信
49.79.242.0	49.79.243.255	512	电信
49.79.255.0	49.79.255.255	256	电信
49.90.0.0	49.92.79.255	151552	电信
49.92.82.0	49.92.85.255	1024	电信
49.92.88.0	49.92.89.255	512	电信
49.92.91.0	49.92.98.255	2048	电信
49.92.100.0	49.92.105.255	1536	电信
49.92.110.0	49.92.121.255	3072	电信
49.92.123.0	49.92.147.255	6400	电信
49.92.150.0	49.92.157.255	2048	电信
49.92.159.0	49.92.162.255	1024	电信
49.92.164.0	49.92.166.255	768	电信
49.92.168.0	49.92.173.255	1536	电信
49.92.176.0	49.92.183.255	2048	电信
49.92.186.0	49.95.5.255	150528	电信
49.95.8.0	49.95.11.255	1024	电信
49.95.14.0	49.95.14.255	256	电信
49.95.16.0	49.95.164.255	38144	电信
49.95.168.0	49.95.173.255	1536	电信
49.95.176.0	49.95.179.255	1024	电信
49.95.188.0	49.95.189.255	512	电信
49.95.192.0	49.95.193.255	512	电信
49.95.196.0	49.95.199.255	1024	电信
49.95.208.0	49.95.217.255	2560	电信
49.95.219.0	49.95.219.255	256	电信
49.95.222.0	49.95.255.255	8704	电信
49.152.0.0	49.155.255.255	262144	广电
58.83.17.0	58.83.17.255	256	联通
58.192.32.0	58.192.55.255	6144	教育网
58.192.68.0	58.192.79.255	3072	教育网
58.192.112.0	58.192.127.255	4096	教育网
58.192.144.0	58.192.159.255	4096	教育网
58.192.248.0	58.192.255.255	2048	教育网
58.193.32.0	58.193.47.255	4096	教育网
58.193.76.0	58.193.79.255	1024	教育网
58.193.128.0	58.193.143.255	4096	教育网
58.193.152.0	58.193.159.255	2048	教育网
58.193.176.0	58.193.191.255	4096	教育网
58.193.208.0	58.193.255.255	12288	教育网
58.200.0.0	58.200.0.255	256	教育网
58.200.73.0	58.200.74.255	512	教育网
58.207.96.0	58.207.119.255	6144	教育网
58.212.0.0	58.212.215.255	55296	电信
58.212.220.0	58.213.10.255	12032	电信
58.213.12.0	58.213.12.255	256	电信
58.213.14.0	58.213.14.255	256	电信
58.213.18.0	58.213.167.255	38400	电信
58.213.169.0	58.213.172.255	1024	电信
58.213.176.0	58.213.176.255	256	电信
58.213.178.0	58.213.255.255	19968	电信
58.217.128.0	58.217.255.255	32768	电信
58.223.0.0	58.223.9.255	2560	电信
58.223.21.0	58.223.34.255	3584	电信
58.223.77.0	58.223.83.255	1792	电信
58.223.104.0	58.223.111.255	2048	电信
58.223.142.0	58.223.146.255	1280	电信
58.223.226.0	58.223.226.255	256	电信
58.223.249.0	58.223.251.255	768	电信
58.223.255.0	58.223.255.255	256	电信
58.240.16.0	58.240.51.255	9216	联通
58.240.53.0	58.240.57.255	1280	联通
58.240.60.0	58.240.61.255	512	联通
58.240.64.0	58.240.159.255	24576	联通
58.240.248.0	58.240.255.255	2048	联通
59.43.64.0	59.43.64.255	256	电信
59.81.68.0	59.81.69.255	512	联通
59.83.198.0	59.83.198.255	256	联通
59.83.204.0	59.83.205.255	512	联通
59.83.216.0	59.83.217.255	512	联通
59.83.223.0	59.83.223.255	256	联通
59.83.225.0	59.83.226.255	512	联通
59.83.233.0	59.83.233.255	256	联通
61.132.20.0	61.132.23.255	1024	电信
61.132.48.0	61.132.63.255	4096	电信
61.132.71.0	61.132.75.255	1280	电信
61.132.78.0	61.132.79.255	512	电信
61.147.128.0	61.147.130.255	768	电信
61.147.133.0	61.147.133.255	256	电信
61.147.136.0	61.147.143.255	2048	电信
61.147.162.0	61.147.180.255	4864	电信
61.155.0.0	61.155.15.255	4096	电信
61.155.104.0	61.155.127.255	6144	电信
61.155.224.0	61.155.255.255	8192	电信
61.160.52.0	61.160.52.255	256	电信
61.160.128.0	61.160.131.255	1024	电信
61.160.134.0	61.160.134.255	256	电信
61.160.136.0	61.160.137.255	512	电信
61.160.139.0	61.160.142.255	1024	电信
61.160.148.0	61.160.150.255	768	电信
61.160.152.0	61.160.156.255	1280	电信
61.160.159.0	61.160.159.255	256	电信
61.160.181.0	61.160.185.255	1280	电信
61.160.190.0	61.160.190.255	256	电信
61.232.106.0	61.232.109.255	1024	铁通
61.232.117.0	61.232.117.255	256	铁通
101.4.118.0	101.4.118.255	256	教育网
101.76.64.0	101.76.127.255	16384	教育网
101.77.0.0	101.77.15.255	4096	教育网
