#截止2023-09-27，吉林省长春市IP地址共计285条记录，IP地址总数2269952。
#数据可能不完整，正在更新中
#IP起始	结束	数量	网络
1.13.0.0	1.13.95.255	24576	方正宽带
1.13.128.0	1.13.191.255	16384	方正宽带
1.14.192.0	1.14.223.255	8192	方正宽带
36.48.0.0	36.48.127.255	32768	电信
36.48.240.0	36.48.247.255	2048	电信
36.49.0.0	36.49.95.255	24576	电信
36.49.176.0	36.49.187.255	3072	电信
36.49.192.0	36.49.255.255	16384	电信
36.97.64.0	36.97.79.255	4096	电信
36.97.160.0	36.97.191.255	8192	电信
36.97.207.0	36.97.207.255	256	电信
36.97.240.0	36.97.255.255	4096	电信
36.104.8.0	36.104.63.255	14336	电信
36.104.108.0	36.104.109.255	512	电信
36.104.128.0	36.104.159.255	8192	电信
36.104.192.0	36.104.227.255	9216	电信
39.134.160.0	39.134.161.255	512	移动
39.134.165.0	39.134.165.255	256	移动
39.134.167.0	39.134.167.255	256	移动
39.135.57.0	39.135.57.255	256	移动
39.137.83.0	39.137.83.255	256	移动
39.137.85.0	39.137.85.255	256	移动
42.97.0.0	42.97.255.255	65536	电信
43.237.20.0	43.237.23.255	1024	XX
43.237.152.0	43.237.155.255	1024	XX
43.238.148.0	43.238.151.255	1024	XX
43.250.4.0	43.250.7.255	1024	联通
45.116.208.0	45.116.211.255	1024	吉视传媒
45.123.184.0	45.123.187.255	1024	XX
45.253.78.0	45.253.79.255	512	鹏博士
49.140.0.0	49.141.47.255	77824	教育网
49.141.64.0	49.141.151.255	22528	教育网
49.221.0.0	49.221.31.255	8192	鹏博士
58.21.0.0	58.21.127.255	32768	联通
58.58.112.0	58.58.112.255	256	吉视传媒
58.155.128.0	58.155.151.255	6144	教育网
58.155.156.0	58.155.167.255	3072	教育网
58.155.176.0	58.155.191.255	4096	教育网
58.244.0.0	58.244.175.255	45056	联通
58.244.182.0	58.244.182.255	256	联通
58.244.190.0	58.244.191.255	512	联通
58.244.252.0	58.244.252.255	256	联通
58.245.0.0	58.245.63.255	16384	联通
59.72.0.0	59.72.127.255	32768	教育网
59.72.224.0	59.72.255.255	8192	教育网
59.73.192.0	59.73.223.255	8192	教育网
59.108.32.0	59.108.32.255	256	方正宽带
59.108.128.0	59.108.132.255	1280	方正宽带
59.109.5.0	59.109.5.255	256	方正宽带
59.109.65.0	59.109.65.255	256	方正宽带
59.109.79.0	59.109.79.255	256	方正宽带
59.109.192.0	59.109.207.255	4096	方正宽带
61.138.140.0	61.138.142.255	768	联通
61.138.176.0	61.138.180.255	1280	联通
61.138.184.0	61.138.184.255	256	联通
61.138.187.0	61.138.191.255	1280	联通
61.139.128.0	61.139.133.255	1536	联通
61.139.136.0	61.139.159.255	6144	联通
61.232.168.0	61.232.170.255	768	铁通
61.232.172.0	61.232.172.255	256	铁通
61.232.174.0	61.232.175.255	512	铁通
61.235.48.0	61.235.48.255	256	铁通
61.235.50.0	61.235.52.255	768	铁通
61.235.58.0	61.235.60.255	768	铁通
61.243.224.0	61.243.228.255	1280	联通
61.243.231.0	61.243.231.255	256	联通
61.243.245.0	61.243.245.255	256	联通
