#截止2023-09-27，辽宁省沈阳市IP地址共计301条记录，IP地址总数3520512。
#数据可能不完整，正在更新中
#IP起始	结束	数量	网络
36.132.0.0	36.132.0.255	256	移动
36.192.48.0	36.192.50.255	768	铁通
39.105.242.0	39.105.242.255	256	阿里巴巴
39.134.52.0	39.134.55.255	1024	移动
39.135.115.0	39.135.115.255	256	移动
39.137.0.0	39.137.3.255	1024	移动
39.152.0.0	39.152.31.255	8192	移动
39.153.0.0	39.153.27.255	7168	移动
42.53.192.0	42.53.255.255	16384	联通
42.56.64.0	42.56.95.255	8192	联通
42.176.80.0	42.176.95.255	4096	联通
42.177.80.0	42.177.95.255	4096	联通
42.181.0.0	42.181.255.255	65536	联通
42.248.33.0	42.248.33.255	256	电信
42.248.36.0	42.248.39.255	1024	电信
42.248.42.0	42.248.43.255	512	电信
42.248.48.0	42.248.53.255	1536	电信
42.248.57.0	42.248.59.255	768	电信
42.248.63.0	42.248.63.255	256	电信
42.248.128.0	42.248.143.255	4096	电信
42.249.0.0	42.249.23.255	6144	电信
42.249.30.0	42.249.55.255	6656	电信
42.249.60.0	42.249.159.255	25600	电信
42.250.0.0	42.255.255.255	393216	电信
43.236.192.0	43.236.195.255	1024	XX
43.239.0.0	43.239.3.255	1024	XX
43.250.96.0	43.250.99.255	1024	联通
43.251.192.0	43.251.195.255	1024	XX
45.113.72.0	45.113.75.255	1024	XX
45.117.20.0	45.117.23.255	1024	XX
45.117.68.0	45.117.71.255	1024	XX
45.121.252.0	45.121.255.255	1024	鹏博士
45.253.80.0	45.253.81.255	512	鹏博士
49.141.48.0	49.141.63.255	4096	教育网
49.141.152.0	49.141.191.255	10240	教育网
49.141.211.0	49.141.255.255	11520	教育网
58.154.0.0	58.154.34.255	8960	教育网
58.154.37.0	58.154.127.255	23296	教育网
58.154.160.0	58.154.255.255	24576	教育网
58.194.32.0	58.194.63.255	8192	教育网
58.206.64.0	58.206.95.255	8192	教育网
58.207.160.0	58.207.175.255	4096	教育网
59.44.0.0	59.44.19.255	5120	辽宁广电
59.44.20.0	59.44.38.255	4864	电信
59.44.39.0	59.44.40.255	512	辽宁广电
59.44.41.0	59.44.50.255	2560	电信
59.44.51.0	59.44.59.255	2304	辽宁广电
59.44.60.0	59.44.63.255	1024	电信
59.46.0.0	59.46.103.255	26624	电信
59.46.104.0	59.46.111.255	2048	辽宁广电
59.46.112.0	59.46.127.255	4096	电信
59.47.56.0	59.47.63.255	2048	电信
59.47.88.0	59.47.95.255	2048	电信
59.47.144.0	59.47.159.255	4096	电信
59.47.240.0	59.47.240.255	256	电信
59.47.242.0	59.47.255.255	3584	电信
59.73.0.0	59.73.63.255	16384	教育网
59.73.128.0	59.73.167.255	10240	教育网
59.73.176.0	59.73.191.255	4096	教育网
59.73.224.0	59.73.255.255	8192	教育网
59.79.112.0	59.79.113.255	512	教育网
59.81.20.0	59.81.21.255	512	联通
59.108.155.0	59.108.155.255	256	方正宽带
59.152.39.0	59.152.39.255	256	辽宁广电
60.16.0.0	60.17.127.255	98304	联通
60.19.20.0	60.19.20.255	256	联通
60.19.28.0	60.19.29.255	512	联通
60.19.96.0	60.19.111.255	4096	联通
60.23.240.0	60.23.241.255	512	联通
61.161.128.0	61.161.255.255	32768	联通
61.176.0.0	61.176.63.255	16384	联通
61.176.217.0	61.176.217.255	256	联通
61.189.0.0	61.189.63.255	16384	联通
61.232.159.0	61.232.159.255	256	铁通
61.232.161.0	61.232.164.255	1024	铁通
61.235.240.0	61.235.240.255	256	铁通
61.235.243.0	61.235.246.255	1024	铁通
61.235.248.0	61.236.39.255	12288	铁通
61.236.41.0	61.236.42.255	512	铁通
61.236.44.0	61.236.47.255	1024	铁通
61.237.11.0	61.237.11.255	256	铁通
61.237.13.0	61.237.13.255	256	铁通
101.46.192.0	101.46.255.255	16384	鹏博士
101.47.128.0	101.47.191.255	16384	鹏博士
101.104.128.0	101.104.191.255	16384	鹏博士
101.104.224.0	101.104.255.255	8192	鹏博士
101.106.128.0	101.106.191.255	16384	鹏博士
101.131.0.0	101.131.127.255	32768	鹏博士
101.246.64.0	101.246.191.255	32768	鹏博士
103.22.104.0	103.22.107.255	1024	电信
103.32.192.0	103.32.195.255	1024	XX
103.35.0.0	103.35.3.255	1024	XX
103.39.104.0	103.39.107.255	1024	电信
103.42.232.0	103.42.235.255	1024	XX
103.57.76.0	103.57.79.255	1024	XX
103.57.136.0	103.57.139.255	1024	XX
103.70.236.0	103.70.239.255	1024	XX
103.74.204.0	103.74.207.255	1024	XX
103.76.68.0	103.76.71.255	1024	XX
103.212.8.0	103.212.11.255	1024	电信
103.250.104.0	103.250.107.255	1024	联通
110.103.0.0	110.103.63.255	16384	铁通
110.104.112.0	110.104.159.255	12288	铁通
110.104.238.0	110.104.255.255	4608	铁通
111.45.128.0	111.45.135.255	2048	移动
111.117.128.0	111.117.159.255	8192	教育网
111.117.176.0	111.117.191.255	4096	教育网
112.39.80.0	112.39.111.255	8192	移动
112.41.0.0	112.41.127.255	32768	移动
112.54.0.0	112.54.0.255	256	移动
113.224.0.0	113.225.255.255	131072	联通
113.230.112.0	113.230.112.255	256	辽宁广电
113.230.160.0	113.230.165.255	1536	联通
113.230.168.0	113.230.171.255	1024	联通
113.230.180.0	113.230.183.255	1024	联通
113.230.185.0	113.230.191.255	1792	联通
113.232.0.0	113.233.255.255	131072	联通
114.112.152.0	114.112.159.255	2048	电信
115.168.37.0	115.168.37.255	256	电信
115.168.69.0	115.168.69.255	256	电信
116.2.0.0	116.2.255.255	65536	联通
116.138.64.0	116.138.79.255	4096	联通
116.140.32.0	116.140.35.255	1024	联通
117.132.96.0	117.132.143.255	12288	移动
117.136.5.0	117.136.5.255	256	移动
117.136.140.0	117.136.140.255	256	移动
118.202.0.0	118.202.55.255	14336	教育网
118.202.64.0	118.202.119.255	14336	教育网
118.206.20.0	118.206.147.255	32768	鹏博士
119.78.128.0	119.78.128.255	256	科技网
119.78.132.0	119.78.135.255	1024	科技网
119.108.0.0	119.108.255.255	65536	联通
119.118.0.0	119.119.255.255	131072	联通
120.200.0.0	120.200.31.255	8192	移动
120.201.1.0	120.201.2.255	512	移动
120.201.224.0	120.201.227.255	1024	移动
122.67.32.0	122.67.47.255	4096	铁通
122.67.128.0	122.67.191.255	16384	铁通
122.68.0.0	122.68.127.255	32768	铁通
122.68.160.0	122.68.191.255	8192	铁通
122.72.4.0	122.72.5.255	512	铁通
122.72.48.0	122.72.50.255	768	铁通
123.90.0.0	123.90.127.255	32768	铁通
123.92.128.0	123.92.191.255	16384	铁通
123.92.219.0	123.92.221.255	768	铁通
123.94.8.0	123.94.8.255	256	铁通
123.177.0.0	123.177.6.255	1792	电信
123.177.40.0	123.177.41.255	512	电信
123.177.50.0	123.177.127.255	19968	电信
123.177.160.0	123.177.255.255	24576	电信
123.184.0.0	123.184.44.255	11520	电信
123.184.46.0	123.184.239.255	49664	电信
123.189.208.0	123.189.227.255	5120	联通
123.191.0.0	123.191.255.255	65536	联通
123.245.0.0	123.245.127.255	32768	电信
123.246.128.0	123.246.135.255	2048	电信
123.246.255.0	123.246.255.255	256	电信
123.247.96.0	123.247.121.255	6656	电信
123.247.124.0	123.247.255.255	33792	电信
124.92.0.0	124.92.255.255	65536	联通
124.95.48.0	124.95.63.255	4096	联通
124.95.128.0	124.95.248.255	30976	联通
124.95.250.0	124.95.255.255	1536	联通
125.222.32.0	125.222.51.255	5120	教育网
125.222.56.0	125.222.57.255	512	教育网
125.222.59.0	125.222.59.255	256	教育网
125.222.64.0	125.222.95.255	8192	教育网
125.222.108.0	125.222.127.255	5120	教育网
125.222.252.0	125.222.253.255	512	教育网
125.223.99.0	125.223.99.255	256	教育网
144.48.204.0	144.48.207.255	1024	XX
146.196.124.0	146.196.127.255	1024	电信
175.160.0.0	175.161.255.255	131072	联通
175.164.0.0	175.164.255.255	65536	联通
175.167.112.0	175.167.159.255	12288	联通
175.168.0.0	175.169.255.255	131072	联通
175.172.0.0	175.172.255.255	65536	联通
180.223.0.0	180.223.127.255	32768	联通
180.235.112.0	180.235.115.255	1024	鹏博士
182.200.0.0	182.200.255.255	65536	电信
182.201.216.0	182.201.223.255	2048	电信
182.204.160.0	182.204.167.255	2048	电信
182.204.169.0	182.204.175.255	1792	电信
182.205.0.0	182.206.255.255	131072	电信
202.96.64.0	202.96.65.255	512	联通
202.96.78.0	202.96.79.255	512	联通
202.96.82.0	202.96.83.255	512	联通
202.97.160.0	202.97.165.255	1536	联通
202.97.181.0	202.97.181.255	256	联通
202.97.190.0	202.97.191.255	512	联通
202.107.32.0	202.107.32.255	256	联通
202.107.34.0	202.107.47.255	3584	联通
202.107.70.0	202.107.73.255	1024	联通
202.107.75.0	202.107.75.255	256	联通
202.107.87.0	202.107.87.255	256	联通
202.107.107.0	202.107.107.255	256	联通
202.107.109.0	202.107.127.255	4864	联通
202.110.55.0	202.110.56.255	512	联通
202.110.58.0	202.110.59.255	512	联通
202.112.29.0	202.112.31.255	768	教育网
202.118.0.0	202.118.63.255	16384	教育网
202.118.112.0	202.118.119.255	2048	教育网
202.199.0.0	202.199.19.255	5120	教育网
202.199.24.0	202.199.119.255	24576	教育网
202.199.184.0	202.199.187.255	1024	教育网
202.199.200.0	202.199.207.255	2048	教育网
203.93.138.0	203.93.138.255	256	联通
203.93.191.0	203.93.192.255	512	联通
203.93.195.0	203.93.195.255	256	联通
203.110.232.0	203.110.233.255	512	电信
203.119.114.0	203.119.115.255	512	电信
203.148.86.0	203.148.87.255	512	电信
203.170.58.0	203.170.59.255	512	电信
210.30.144.0	210.30.147.255	1024	教育网
210.30.152.0	210.30.183.255	8192	教育网
210.30.192.0	210.30.223.255	8192	教育网
210.30.228.0	210.30.255.255	7168	教育网
210.47.128.0	210.47.151.255	6144	教育网
210.47.160.0	210.47.175.255	4096	教育网
210.52.184.0	210.52.187.255	1024	联通
210.72.128.0	210.72.143.255	4096	科技网
210.72.151.0	210.72.151.255	256	科技网
210.78.15.0	210.78.15.255	256	联通
210.82.189.0	210.82.189.255	256	联通
210.82.194.0	210.82.194.255	256	联通
210.82.244.0	210.82.247.255	1024	联通
210.83.16.0	210.83.31.255	4096	联通
211.93.128.0	211.93.143.255	4096	联通
211.98.81.0	211.98.83.255	768	铁通
211.98.94.0	211.98.94.255	256	铁通
211.98.182.0	211.98.183.255	512	铁通
211.98.191.0	211.98.191.255	256	铁通
211.137.0.0	211.137.47.255	12288	移动
211.166.174.0	211.166.177.255	1024	联通
218.24.20.0	218.24.23.255	1024	联通
218.24.36.0	218.24.39.255	1024	联通
218.24.44.0	218.24.47.255	1024	联通
218.24.64.0	218.24.119.255	14336	联通
218.24.121.0	218.24.127.255	1792	联通
218.24.199.0	218.24.199.255	256	联通
218.25.0.0	218.25.127.255	32768	联通
218.25.242.0	218.25.242.255	256	联通
218.25.246.0	218.25.250.255	1280	联通
218.25.254.0	218.25.254.255	256	联通
218.30.170.0	218.30.170.255	256	电信
218.60.0.0	218.60.63.255	16384	联通
218.60.137.0	218.60.137.255	256	联通
218.60.142.0	218.60.175.255	8704	联通
218.60.192.0	218.60.223.255	8192	联通
218.60.250.0	218.60.251.255	512	联通
218.60.253.0	218.60.255.255	768	联通
218.61.60.0	218.61.60.255	256	联通
218.61.64.0	218.61.95.255	8192	联通
218.61.128.0	218.61.169.255	10752	联通
218.61.220.0	218.61.220.255	256	联通
218.61.252.0	218.61.255.255	1024	联通
218.106.192.0	218.106.207.255	4096	联通
218.200.241.0	218.200.241.255	256	移动
219.148.192.0	219.148.200.255	2304	电信
219.148.202.0	219.148.211.255	2560	电信
219.148.213.0	219.148.216.255	1024	电信
219.148.220.0	219.148.220.255	256	电信
219.148.224.0	219.148.255.255	8192	电信
219.216.0.0	219.216.47.255	12288	教育网
219.216.64.0	219.216.127.255	16384	教育网
219.216.208.0	219.216.215.255	2048	教育网
219.217.68.0	219.217.71.255	1024	教育网
219.217.96.0	219.217.127.255	8192	教育网
220.113.176.0	220.113.179.255	1024	鹏博士
220.201.0.0	220.201.15.255	4096	联通
220.201.28.0	220.201.28.255	256	联通
220.203.229.0	220.203.229.255	256	联通
220.207.208.0	220.207.211.255	1024	联通
221.177.24.0	221.177.26.255	768	移动
221.177.28.0	221.177.31.255	1024	移动
221.180.128.0	221.180.133.255	1536	移动
221.180.135.0	221.180.135.255	256	移动
221.180.142.0	221.180.152.255	2816	移动
221.180.158.0	221.180.183.255	6656	移动
221.180.186.0	221.180.189.255	1024	移动
221.180.192.0	221.180.211.255	5120	移动
221.180.234.0	221.180.234.255	256	移动
221.180.236.0	221.180.255.255	5120	移动
221.183.53.0	221.183.53.255	256	移动
221.200.0.0	221.200.255.255	65536	联通
221.203.244.0	221.203.244.255	256	联通
221.203.248.0	221.203.249.255	512	联通
221.203.251.0	221.203.255.255	1280	联通
