#截止2023-09-25，中国移动IP地址段共计5791条。移动AS区域
#IP起始	结束	数量	网络
36.128.0.0	36.128.15.255	4096	36.128.0.0/20
36.128.0.0	36.128.255.255	65536	36.128.0.0/16
36.128.16.0	36.128.31.255	4096	36.128.16.0/20
36.128.32.0	36.128.47.255	4096	36.128.32.0/20
36.128.48.0	36.128.63.255	4096	36.128.48.0/20
36.128.64.0	36.128.79.255	4096	36.128.64.0/20
36.128.80.0	36.128.87.255	2048	36.128.80.0/21
36.128.88.0	36.128.95.255	2048	36.128.88.0/21
36.128.96.0	36.128.127.255	8192	36.128.96.0/19
36.128.128.0	36.128.159.255	8192	36.128.128.0/19
36.128.160.0	36.128.175.255	4096	36.128.160.0/20
36.128.176.0	36.128.191.255	4096	36.128.176.0/20
36.128.192.0	36.128.223.255	8192	36.128.192.0/19
36.128.224.0	36.128.255.255	8192	36.128.224.0/19
36.129.0.0	36.129.63.255	16384	36.129.0.0/18
36.129.0.0	36.129.127.255	32768	36.129.0.0/17
36.129.56.0	36.129.56.255	256	36.129.56.0/24
36.129.57.0	36.129.57.255	256	36.129.57.0/24
36.129.64.0	36.129.79.255	4096	36.129.64.0/20
36.129.76.0	36.129.76.255	256	36.129.76.0/24
36.129.77.0	36.129.77.255	256	36.129.77.0/24
36.129.80.0	36.129.87.255	2048	36.129.80.0/21
36.129.86.0	36.129.86.255	256	36.129.86.0/24
36.129.88.0	36.129.95.255	2048	36.129.88.0/21
36.129.93.0	36.129.93.255	256	36.129.93.0/24
36.129.96.0	36.129.103.255	2048	36.129.96.0/21
36.129.104.0	36.129.111.255	2048	36.129.104.0/21
36.129.111.0	36.129.111.255	256	36.129.111.0/24
36.129.112.0	36.129.119.255	2048	36.129.112.0/21
36.129.120.0	36.129.127.255	2048	36.129.120.0/21
36.129.122.0	36.129.122.255	256	36.129.122.0/24
36.129.128.0	36.129.159.255	8192	36.129.128.0/19
36.129.128.0	36.129.255.255	32768	36.129.128.0/17
36.129.154.0	36.129.154.255	256	36.129.154.0/24
36.129.155.0	36.129.155.255	256	36.129.155.0/24
36.129.160.0	36.129.175.255	4096	36.129.160.0/20
36.129.170.0	36.129.170.255	256	36.129.170.0/24
36.129.171.0	36.129.171.255	256	36.129.171.0/24
36.129.176.0	36.129.183.255	2048	36.129.176.0/21
36.129.184.0	36.129.191.255	2048	36.129.184.0/21
36.129.192.0	36.129.199.255	2048	36.129.192.0/21
36.129.200.0	36.129.207.255	2048	36.129.200.0/21
36.129.208.0	36.129.223.255	4096	36.129.208.0/20
36.129.248.0	36.129.255.255	2048	36.129.248.0/21
36.129.255.0	36.129.255.255	256	36.129.255.0/24
36.130.0.0	36.130.63.255	16384	36.130.0.0/18
36.130.0.0	36.130.255.255	65536	36.130.0.0/16
36.130.64.0	36.130.79.255	4096	36.130.64.0/20
36.130.80.0	36.130.87.255	2048	36.130.80.0/21
36.130.88.0	36.130.95.255	2048	36.130.88.0/21
36.130.96.0	36.130.103.255	2048	36.130.96.0/21
36.130.104.0	36.130.111.255	2048	36.130.104.0/21
36.130.112.0	36.130.119.255	2048	36.130.112.0/21
